Node matrix
  Xs              Ys            Zs
-0.9525	0	5.08
 0.9525	0	5.08
-0.9525	0.9525	2.54
 0.9525	0.9525	2.54
 0.9525	-0.9525	2.54
-0.9525	-0.9525	2.54
-2.54	2.54	0
2.54	2.54	0
2.54	-2.54	0
-2.54	-2.54	0

Conectivity matrix
material  section  Tempcase start end
1	1	0	1	2
1	1	0	1	4
1	1	0	2	3
1	1	0	1	5
1	1	0	2	6
1	1	0	2	4
1	1	0	2	5
1	1	0	1	3
1	1	0	1	6
1	1	0	3	6
1	1	0	4	5
1	1	0	3	4
1	1	0	5	6
1	1	0	3	10
1	1	0	6	7
1	1	0	9	4
1	1	0	5	8
1	1	0	7	4
1	1	0	3	8
1	1	0	10	5
1	1	0	9	6
1	1	0	10	6
1	1	0	7	3
1	1	0	8	4
1	1	0	9	5
